pos,corr_resp,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,probe.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,,sequesntial RT,randomRT,,,,,,,,,,sequesntial RT,randomRT
-50,x,0,0,0,0,0,0,0,0,,,,,18.27763925003819,19.26412295899354,19.26412295899354,19.26412295899354,19.26412295899354,19.27744045900181,20.26002983399667,20.26002983399667,21.249805166968144,x,1,1.5944475820288062,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,1.5944475820288062,0.3352399569703266,,,,,,,,,,1.5944475820288062,0.3352399569703266
150,v,0,0,0,0,0,1,1,1,,,,,21.88552783394698,22.876921167015098,22.876921167015098,22.876921167015098,22.876921167015098,22.887291459017433,23.87667883,23.87667883,,v,1,0.6738849569810554,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.6738849569810554,0.7192976649384946,,,,,,,,,,0.6738849569810554,0.7192976649384946
50,c,0,0,0,0,0,2,2,2,,,,,24.567069999990053,25.555339292041026,25.555339292041026,25.555339292041026,25.555339292041026,25.565161417005584,26.56054016703274,26.56054016703274,,c,1,0.48392245697323233,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.48392245697323233,0.2784877070225775,,,,,,,,,,0.48392245697323233,0.2784877070225775
-150,z,0,0,0,0,0,3,3,3,,,,,27.060257459059358,28.048095499980263,28.048095499980263,28.048095499980263,28.048095499980263,28.060483500012197,29.043461792054586,29.043461792054586,,z,1,0.4873314159922302,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.4873314159922302,0.6182817069347948,,,,,,,,,,0.4873314159922302,0.6182817069347948
-50,x,0,0,0,0,1,0,4,0,,,,,29.54384683,30.544268458965234,30.544268458965234,30.544268458965234,30.544268458965234,30.56089158402756,31.52686750004068,31.52686750004068,,x,1,0.6472568729659542,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.6472568729659542,0.5874442899366841,,,,,,,,,,0.6472568729659542,0.5874442899366841
150,v,0,0,0,0,1,1,5,1,,,,,32.18495541694574,33.172188583994284,33.172188583994284,33.172188583994284,33.172188583994284,33.18107870896347,34.16893383394927,34.16893383394927,,v,1,0.4716899979393929,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.4716899979393929,0.6939217899926007,,,,SeqRT,RandomRT,,,,,0.4716899979393929,0.6939217899926007
50,c,0,0,0,0,1,2,6,2,,,,,34.65161308,35.639339833986014,35.639339833986014,35.639339833986014,35.639339833986014,35.648273959057406,36.64358195895329,36.64358195895329,,c,1,0.6572722069686279,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.6572722069686279,0.7390499989269301,,,Bin,,,,,,,0.6572722069686279,0.7390499989269301
-150,z,0,0,0,0,1,3,7,3,,,,,37.31786087504588,38.30560633400455,38.30560633400455,38.30560633400455,38.30560633400455,38.31480575003661,39.302387584000826,39.302387584000826,,z,1,0.5272262069629505,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.5272262069629505,0.42991029005497694,,,1,0.476568874,0.620670676,,,,,0.5272262069629505,0.42991029005497694
-50,x,0,0,0,0,2,0,8,0,,,,,39.84377649996895,40.84456129197497,40.84456129197497,40.84456129197497,40.84456129197497,40.86153820902109,41.82705987500958,41.82705987500958,,x,1,0.3707894569961354,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.3707894569961354,0.754602499,,,2,0.492015707,0.607413388,,,,,0.3707894569961354,0.754602499
150,v,0,0,0,0,2,1,9,1,,,,,42.21033350005746,43.19505116704386,43.19505116704386,43.19505116704386,43.19505116704386,43.20480724994559,44.19332229194697,44.19332229194697,,v,1,0.4357142070075497,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.4357142070075497,0.9208754979772493,,,3,0.384944769,0.769929804,,,,,0.4357142070075497,0.9208754979772493
